CHILDCODE	EDCHSTR4	ATDSCHR4	GRDER4	TYSCR4	SMESCHR4	DEPTR4
68020	11	1	11	4	1	 
68020	12	1	13	1	0	22
68020	13	0	 	 	 	 
68021	9	1	9	4	1	 
68021	10	1	10	4	1	 
68021	11	1	11	4	1	 
68021	12	1	13	1	0	22
68021	13	1	13	1	1	 
68022	9	1	7	4	0	22
68022	10	1	7	4	0	22
68022	11	1	8	4	1	 
68022	12	1	9	4	1	 
68022	13	1	10	4	1	 
68023	9	1	8	4	1	 
68023	10	1	9	4	1	 
68023	11	1	10	4	1	 
68023	12	1	11	4	0	15
68023	13	1	14	4	0	22
68024	9	1	9	4	1	 
68024	10	1	10	4	1	 
68024	11	1	11	4	1	 
68024	12	1	15	4	0	22
68024	13	1	15	4	1	 
68025	9	1	9	4	1	 
68025	10	1	10	4	1	 
68025	11	1	11	4	1	 
68025	12	0	 	 	 	 
68025	13	0	 	 	 	 
78001	9	1	9	1	1	 
78001	10	1	10	1	1	 
78001	11	1	11	1	1	 
78001	12	0	 	 	 	 
78001	13	1	15	1	0	15
78002	9	1	10	1	0	6
78002	10	1	11	1	1	 
78002	11	0	 	 	 	 
78002	12	1	13	1	0	6
78002	13	0	 	 	 	 
78003	9	1	10	4	1	 
78003	10	1	11	4	1	 
78003	11	1	15	1	0	6
78003	12	1	15	1	1	 
78003	13	1	15	1	1	 
78005	9	1	8	1	0	6
78005	10	1	9	1	1	 
78005	11	0	 	 	 	 
78005	12	0	 	 	 	 
78005	13	1	10	4	0	6
78006	9	1	9	1	0	14
78006	10	1	10	1	1	 
78006	11	1	11	1	1	 
78006	12	1	15	1	0	14
78006	13	1	15	1	1	 
78007	9	1	9	1	1	 
78007	10	1	10	1	1	 
78007	11	1	11	1	1	 
78007	12	1	15	1	0	15
78007	13	1	13	1	0	15
78008	9	1	9	4	1	 
78008	10	1	10	1	0	6
78008	11	1	11	1	1	 
78008	12	1	14	1	0	6
78008	13	1	15	1	1	 
78009	9	1	9	7	1	 
78009	10	1	10	7	1	 
78009	11	1	11	7	1	 
78009	12	0	 	 	 	 
78009	13	0	 	 	 	 
78010	9	1	10	1	1	 
78010	10	1	11	1	1	 
78010	11	1	15	1	0	15
78010	12	1	15	1	1	 
78010	13	1	15	1	1	 
78011	9	1	10	4	1	 
78011	10	1	11	4	1	 
78011	11	0	 	 	 	 
78011	12	1	15	4	0	6
78011	13	1	15	4	1	 
78012	9	1	9	4	1	 
78012	10	1	10	1	0	6
78012	11	1	11	1	1	 
78012	12	0	 	 	 	 
78012	13	0	 	 	 	 
78013	9	1	9	1	0	6
78013	10	1	10	1	1	 
78013	11	1	11	1	1	 
78013	12	0	 	 	 	 
78013	13	1	15	1	0	6
78014	9	1	9	4	1	 
78014	10	1	10	4	1	 
78014	11	1	11	4	1	 
78014	12	1	15	1	0	6
78014	13	1	15	1	1	 
78015	9	1	10	1	1	 
78015	10	1	11	1	1	 
78015	11	1	15	1	0	6
78015	12	1	15	1	1	 
78015	13	1	15	1	1	 
78016	9	1	9	4	1	 
78016	10	1	10	4	1	 
78016	11	1	11	4	1	 
78016	12	0	 	 	 	 
78016	13	0	 	 	 	 
78017	9	1	10	4	1	 
78017	10	1	11	4	1	 
78017	11	1	13	1	0	6
78017	12	0	 	 	 	 
78017	13	0	 	 	 	 
